Category;Count;;Sub-Category;Count;;Sub-Sub-Category;Count-subcatagory;;Sub-Sub-Sub-Category;Count-Sub-Sub-Sub-Category;;Sub-Sub-Sub-sub-Category;Solution;Solution Main Category;Solution Category;Tag;Link to commit
;;;;;;Expensive exponential operation(O(n) overhead);1;;;;;;;strength reduction;;;https://github.com/lammps/lammps/commit/2c945f6753d274ab2411acdedbc616f9a9da3aa8
;;;;;;Expensive tensor calculation;1;;;;;;;strength reduction;;;https://github.com/OpenFOAM/OpenFOAM-dev/commit/56059e7fb9d36f728713c450fe3e565acec61f53
;;;;;;Expensive type-casting;2;;;;;;fast static_cast instread of dynamic_cast;Enable compile time evaluation;;;https://github.com/CGAL/cgal/commit/9adf4385ff879626652323eab82fb91cab59db5a
;;;;;;;;;;;;;fast static_cast instread of dynamic_cast;Enable compile time evaluation;;;https://github.com/CGAL/cgal/commit/9adf4385ff879626652323eab82fb91cab59db5a
;;;;;;Expensive library function call;2;;;;;;Replace SQRT and POW by more efficient computations;strength reduction;;;https://github.com/CGAL/cgal/commit/4ea573a48b5128f074a9dd4cfd3ecbe820698495
;;;;;;;;;;;;;Replace inefficient copy with faster copy function;Faster API call;;;https://github.com/GlobalArrays/ga/commit/4f11d05a57dfcd525ec465d33fc01c7c9804d207
;;;;;;Expensive integer division;1;;;;;;Replaced costly integer division with addition;strength reduction;;;https://github.com/casadi/casadi/commit/29b68823a4c988d73457c31791d9cf457d1ce78d
;;;;;;Expensive function call;5;;;;;;Remove unnecessary condtionion checking;Eliminating unnecessary operation;;;https://github.com/gromacs/gromacs/commit/2f23bc394ba7d47d851260fc9caa01fcd022c05f
;;;;;;;;;;;;;;Eliminating unnecessary operation;;;https://github.com/CGAL/cgal/commit/54d8839ac9f5cc60c630fe13db8daab236cbfb3f
;;;;;;;;;;;;;;code specialization;;;https://github.com/GlobalArrays/ga/commit/e9c1456af12cd64a91c19dd57c52f96bf5573ad6
;;;;;;;;;;;;;Replace expensive function calls with faster API;Loop invariant code motion;;;https://github.com/mlpack/mlpack/commit/83207c4439ce3072e9b590cd6d2feeafdd25f2bd
;;;;;;;;;;;;;;strength reduction;;;https://github.com/CGAL/cgal/commit/871a04e88cd4c1ab2c12cf0a5e52d028ffde6098
;;;;;;Expensive kernel operation for small matrix;1;;;;;;Batching operation for small matrix;Batching function calls;;;https://github.com/xianyi/OpenBLAS/commit/aa7b3dc3dbdad15de5a239cb4fc4364815dfbc4d
;;;Frequent  function call;3;;;;;;;;;;lazy housekeeping;;;https://github.com/casadi/casadi/commit/4932022950b1057ee45a35a2a8fff636fa0cf7f6
;;;;;;;;;;;;;;Batching function calls;;;https://github.com/GOMC-WSU/GOMC/commit/b5d7ebd72508105b9475acc0939f4df00bb92041
;;;;;;;;;;;;;;Batching function calls;;;https://github.com/GOMC-WSU/GOMC/commit/ca196579f49e6d88c990cb8b27b89a961f1f86c4
;;;Inefficient data-structure library;9;4,84%;Slower data structure;2;;;;;;Replaced array with atomic<char>;data structure transformation;;;https://github.com/CGAL/cgal/commit/743335d56eab5fc1f823d21921fefe6ea7d28ab3
;;;;;;;;;;;;;Use heap for fast searching;data structure transformation;;;https://github.com/mlpack/mlpack/commit/198cec80a434b3d88a993e3d67a18b778ebc07f1
;;;;;;Inefficient library API call;7;;dynamic contiguous array allocation when size known statically;;;;;Use of fast data strcture container;;;https://github.com/arrayfire/arrayfire/commit/ee30e2729744afb157276107e1f74b4085b38e72
;;;;;;;;;;;;;;Use of fast data strcture container;;;https://github.com/OpenFOAM/OpenFOAM-dev/commit/51247eec60699983f41f3b1298080a08612ef8bb
;;;;;;;;;;;;;;Use of fast data strcture container;;;https://github.com/precice/precice/commit/d08d467776f5242a6ec5d59cbdb697a3b1351f4f
;;;;;;;;;;;;;Replace slow STL API with faster operator [] for vector insert operation;Use of fast data strcture container;;;https://github.com/CGAL/cgal/commit/e9cc8bcd5e71ca0b9b7b5888b7d400f9e24417d4
;;;;;;;;;;;;;Replaced forward_list with std::vector;Use of fast data strcture container;;OS specific;https://github.com/TileDB-Inc/TileDB/commit/d51b082681569c75b2ccc2d3d2aea69548536f6c
;;;;;;;;;;;;;Efficient API usage for data structure access;Use of fast data strcture container;;;https://github.com/gromacs/gromacs/commit/9acdb3a9cd519c446343a239ffef934e6e45c7ee
;;;;;;;;;Inefficient due to reference counting overhead;;;;Used data structure with no reference counting technique;Use of fast data strcture container;;;https://github.com/CGAL/cgal/commit/8855eb54c305ffeaec32cb6bc49bfb0a2e465cc2
;;;Usage of improper data type;3;;Slowdown due to wrong data type;3;;;;;;Changed data type to avoid overflow of computation;Use of data types that reduces computation and memory overhead;;;https://github.com/xianyi/OpenBLAS/commit/0caf1434c928d39373499ffc02abe645945485d8
;;;;;;;;;CUDA kernel performance degradation due to data type;;;;Replaced long long to int in cuda kernel;Use of data types that reduces computation and memory overhead;;GPU kernel;https://github.com/arrayfire/arrayfire/commit/6b19b7a45826673cb2474db266d2d024d56abdc1
;;;;;;;;;;;;;;Use of data types that reduces computation and memory overhead;;;https://github.com/openmm/openmm/commit/5b017677e1add9ac33b318c73fad21c04ff93287
Inefficient memory management;13;6,99%;memory leak;5;;;;;;;;;;Avoid memory leak by memory management;;;https://github.com/arrayfire/arrayfire/commit/44845c014140dcf195262db9c6474eb592436411
;;;;;;;;;;;;;;Avoid memory leak by memory management;;;https://github.com/arrayfire/arrayfire/commit/51be7e2e5e639d9099dfc22c2703fb557e407f15
;;;;;;;;;;;;;;Avoid memory leak by memory management;;;https://github.com/arrayfire/arrayfire/commit/498598d05c6d434c8f785ff1d1a3227369149f31
;;;;;;;;;;;;;;Avoid memory leak by memory management;;;https://github.com/arrayfire/arrayfire/commit/d3bb2023bae565d8f76fa21a515c755f020c559b
;;;;;;;;;;;;;;Avoid memory leak by memory management;;;https://github.com/arrayfire/arrayfire/commit/2e438e66f4e2922ed64089711fdab0594ee3a530
;;;repreated memory allocation;4;;;;;;;;;Allocate large memory;Pre-allocation;;;https://github.com/hypre-space/hypre/commit/7074cb440016f011a86fdf6b329d2b7ceb75a2ee
;;;;;;;;;;;;;;Pre-allocation;;;https://github.com/xianyi/OpenBLAS/commit/d744c9590ae18706b40e151a9adf2070639909fb
;;;;;;;;;;;;;;Pre-allocation;;;https://github.com/lattice/quda/commit/e3f4a9bbf1f0a38ceb6984d2eba3ef0dde5e3e10
;;;;;;;;;;;;;;Pre-allocation;;;https://github.com/llnl/elemental/commit/0e4e381bfacdbe41a74f03ecf9bd743e7c6de4a9
;;;Redundant memory allocation;1;;;;;;;;;Use std::make_shared instead of new.;Use efficient API;;;https://github.com/precice/precice/commit/042f4ed1ca72beda24baf79e54ab834057c364d4
;;;Slower memory allocation library call;1;;;;;;;;;Replaced with faster memory allocation library;Use efficient API;;;https://github.com/CGAL/cgal/commit/2e98995b29e8c010ad94831394f093b506b4cb69
;;;Insufficient memory;1;;Inefficiency while computing large multiplication due to lower memory size;;;;;;;Memory increase to handle large matrix;Increase memory size for efficiency;;;https://github.com/GlobalArrays/ga/commit/6b869d9ece536a375b5a79267bf3ca397de1b75d
;;;unnecessary data copy;1;;;;;;;;;;Reference rather than copy;;;https://github.com/mlpack/mlpack/commit/fe1b6b96fdfa12709df03b730614a00ea97a3747
I/O inefficiency;2;;sequential I/O operation;1;;;;;;;;;parallelize I/O operation;pthread-based paralleism;;;https://github.com/TileDB-Inc/TileDB/commit/ac2474656d31588d52ecec16a0c06bf77ef3e11e
;;;over parallelization;1;;;;;;;;;reduce the parallel I/O operation if performed on single file;reduce parallelization;;;https://github.com/GlobalArrays/ga/commit/4903a90ba750a2119d82b3e435c2e259fab097b9
Unintentional Programming logic error;3;;boundary condition check;2;;;;;;;;;;fix programming error;;;https://github.com/xianyi/OpenBLAS/commit/274d6e015b56a9f0ccad928232ed3bd88a063754
;;;;;;;;;;;;removed mis-branching overhead;;fix programming error;;;https://github.com/libMesh/libmesh/commit/35e671c64a75b420d6534e2bdf6d34656418171b
;;;;;;;;;;;;;;fix programming error;;;https://github.com/mlpack/mlpack/commit/205b052082e1928447f9daa652d780b1aaeca0d7
Inefficiency due to new compiler version ;1;;;;;;;;;;;;;Reduce parallelization;;;https://github.com/lattice/quda/commit/2ae74fd9959ebcaebb961af1717ac22093f05161
;186;;;;;;;;;;;;;;;;
