Category,Count,,Sub-Category,Count,,Sub-Sub-Category,Count-subcatagory,,Sub-Sub-Sub-Category,Count-Sub-Sub-Sub-Category,,Sub-Sub-Sub-sub-Category,Solution,Solution Main Category,Solution Category,Link to commit
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,Redundant sort operation,,,,caching,,,https://github.com/casadi/casadi/commit/181681828aea630a0b827c9bc2b35ffaf8110b1c
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,Redundant sort operation,,,Removed unnecessary vector copy inside loop,Eliminating unnecessary operation,,,https://github.com/mlpack/mlpack/commit/5e1d0dacd0121243ba1aa9258992931d0839666d
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,Redundant sort operation,,,,caching,,,https://github.com/gromacs/gromacs/commit/8a1938afdccd41b96eed056bd8b8ed49632008fb
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,Redundant sort operation,,,,scalar replacement,,,https://github.com/arrayfire/arrayfire/commit/dca852e2d53a2b606b7aa4cf5990ab99a9b3b67e
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,Redundant sort operation,,,Added condition filtering before computation,Eliminating unnecessary operation,,,https://github.com/kokkos/kokkos/commit/b7dc696a5fec15e29ccc35da352f7398ce864b29
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,Redundant variable assignment operation,,,Removed extra variable assignment,Avoid memory dereference by storing in register,,,https://github.com/hypre-space/hypre/commit/d1fff3e84d5f6a74e601bcc89c9dcc49c6235213
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Redundant computation,,,Redundant list splitting due to integer overflow,,,Avoid integer overflow,fix programming error,,,https://github.com/gromacs/gromacs/commit/f7c18fba349729f99e30f22567679c541a61c1df
Inefficient algorithm /data-structure and their implementation,,,Redundant operation,,,Unnecessary branching (??),1,,Removing branch in function (branch optimization),,,,code specialization,,,https://github.com/TileDB-Inc/TileDB/commit/0a4d55b5dd4347f2a4d4fbfab866e3dbdbdb00f2
Inefficient algorithm /data-structure and their implementation,,"15,59%",Expensive operation,29,15.59%,Expensive algorithm,3,,,,,,lower complexity algorithm - domain specific,,,https://github.com/gromacs/gromacs/commit/7a61f0409c88b284c557a0c693879327934b2e89
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive algorithm,,,,,,use binary search,lower complexity algorithm - domain and arch agnostic,,,https://github.com/gromacs/gromacs/commit/a711d4142629a31d92f7bbce8b8a51888f52e88f
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive algorithm,,,,,,,lower complexity algorithm - domain specific,,,https://github.com/llnl/elemental/commit/b76dea7a9609b838e0084549f330bff17c3f6500
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive runtime evaluation,3,,,,,,caching,,,https://github.com/openmm/openmm/commit/84691dc465f58f60341b196657276ddc381e6f59
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive runtime evaluation,,,,,,,Enable compile time evaluation,,,https://github.com/arrayfire/arrayfire/commit/f62199b77718b4f2e2748921b78055adb0405d9e
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive runtime evaluation,,,,,,Evaluate log(x) using a lookup table for speed.,caching,,,https://github.com/openmm/openmm/commit/f39a55452514041325abb3f6fe2512e437fa877e
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive many memory references,3,,Expensive data-structure traversal,,,,strength reduction,,,https://github.com/lattice/quda/commit/e04b189e232392b36d0140bdb53bd5d0af9d05b6
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive many memory references,,,,,,,caching,,,https://github.com/gromacs/gromacs/commit/829af878484af51490a1da82b426019e3119a079
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive many memory references,,,,,,fast approximation to avoid table lookup,Avoid memory dereference by storing in register,approximation,,https://github.com/openmm/openmm/commit/0e5d3fb1f02cad944327d4d921dd5c8fbf310ba2
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive atomic call,1,,API miss use,,,,Faster API call,,,https://github.com/kokkos/kokkos/commit/0b636c910085f4b8414e06321c0cc276d29fa654
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive computational kernel for a target architecture,3,,,,,,Architecture specific fast kernel,,,https://github.com/xianyi/OpenBLAS/commit/d321448a63954d536f90592cd0cc53c304b08d2e
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive computational kernel for a target architecture,,,,,,,Architecture specific fast kernel,,,https://github.com/xianyi/OpenBLAS/commit/89fe17f20e7d1d10a7ec3315bf9b1816a3d47ce9
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive computational kernel for a target architecture,,,,,,,Architecture specific fast kernel,,,https://github.com/xianyi/OpenBLAS/commit/c43331ad0aeaefe4b4d90aab06c93655c851feab
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,expensive high precision calculation,3,,,,,replace with reduced precision math library,reduced precision,,,https://github.com/arrayfire/arrayfire/commit/d0d87ab2525af162de48764a0e4634110ab7d00f
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,expensive high precision calculation,,,,,,,reduced precision,,,https://github.com/lattice/quda/commit/955ea6cae8e358b942183ca30d44d1f3ca3d7296
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,expensive high precision calculation,,,,,,,reduced precision,,,https://github.com/gromacs/gromacs/commit/4cd608ba1c6b677472b3dfcb19cc5f15ebe9e639
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive exponential operation(O(n) overhead),1,,,,,,strength reduction,,,https://github.com/lammps/lammps/commit/2c945f6753d274ab2411acdedbc616f9a9da3aa8
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive tensor calculation,1,,,,,,strength reduction,,,https://github.com/OpenFOAM/OpenFOAM-dev/commit/56059e7fb9d36f728713c450fe3e565acec61f53
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive type-casting,2,,,,,fast static_cast instread of dynamic_cast,Enable compile time evaluation,,,https://github.com/CGAL/cgal/commit/9adf4385ff879626652323eab82fb91cab59db5a
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive type-casting,,,,,,fast static_cast instread of dynamic_cast,Enable compile time evaluation,,,https://github.com/CGAL/cgal/commit/9adf4385ff879626652323eab82fb91cab59db5a
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive library function call,2,,,,,Replace SQRT and POW by more efficient computations,strength reduction,,,https://github.com/CGAL/cgal/commit/4ea573a48b5128f074a9dd4cfd3ecbe820698495
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive library function call,,,,,,Replace inefficient copy with faster copy function,Faster API call,,,https://github.com/GlobalArrays/ga/commit/4f11d05a57dfcd525ec465d33fc01c7c9804d207
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive integer division,1,,,,,Replaced costly integer division with addition,strength reduction,,,https://github.com/casadi/casadi/commit/29b68823a4c988d73457c31791d9cf457d1ce78d
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive function call,5,,,,,Remove unnecessary condtionion checking,Eliminating unnecessary operation,,,https://github.com/gromacs/gromacs/commit/2f23bc394ba7d47d851260fc9caa01fcd022c05f
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive function call,,,,,,,Eliminating unnecessary operation,,,https://github.com/CGAL/cgal/commit/54d8839ac9f5cc60c630fe13db8daab236cbfb3f
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive function call,,,,,,,code specialization,,,https://github.com/GlobalArrays/ga/commit/e9c1456af12cd64a91c19dd57c52f96bf5573ad6
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive function call,,,,,,Replace expensive function calls with faster API,Loop invariant code motion,,,https://github.com/mlpack/mlpack/commit/83207c4439ce3072e9b590cd6d2feeafdd25f2bd
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive function call,,,,,,,strength reduction,,,https://github.com/CGAL/cgal/commit/871a04e88cd4c1ab2c12cf0a5e52d028ffde6098
Inefficient algorithm /data-structure and their implementation,,,Expensive operation,,,Expensive kernel operation for small matrix,1,,,,,Batching operation for small matrix,Batching function calls,,,https://github.com/xianyi/OpenBLAS/commit/aa7b3dc3dbdad15de5a239cb4fc4364815dfbc4d
Inefficient algorithm /data-structure and their implementation,,,Frequent  function call,3,,,,,,,,,lazy housekeeping,,,https://github.com/casadi/casadi/commit/4932022950b1057ee45a35a2a8fff636fa0cf7f6
Inefficient algorithm /data-structure and their implementation,,,Frequent  function call,,,,,,,,,,Batching function calls,,,https://github.com/GOMC-WSU/GOMC/commit/b5d7ebd72508105b9475acc0939f4df00bb92041
Inefficient algorithm /data-structure and their implementation,,,Frequent  function call,,,,,,,,,,Batching function calls,,,https://github.com/GOMC-WSU/GOMC/commit/ca196579f49e6d88c990cb8b27b89a961f1f86c4
Inefficient algorithm /data-structure and their implementation,,"4,84%",Inefficient data-structure library,9,,Slower data structure,2,,,,,Replaced array with atomic<char>,data structure transformation,,,https://github.com/CGAL/cgal/commit/743335d56eab5fc1f823d21921fefe6ea7d28ab3
Inefficient algorithm /data-structure and their implementation,,,Inefficient data-structure library,,,Slower data structure,,,,,,Use heap for fast searching,data structure transformation,,,https://github.com/mlpack/mlpack/commit/198cec80a434b3d88a993e3d67a18b778ebc07f1
Inefficient algorithm /data-structure and their implementation,,,Inefficient data-structure library,,,Inefficient library API call,7,,dynamic contiguous array allocation when size known statically,,,,Use of fast data strcture container,,,https://github.com/arrayfire/arrayfire/commit/ee30e2729744afb157276107e1f74b4085b38e72
Inefficient algorithm /data-structure and their implementation,,,Inefficient data-structure library,,4.83%,Inefficient library API call,,,,,,,Use of fast data strcture container,,,https://github.com/OpenFOAM/OpenFOAM-dev/commit/51247eec60699983f41f3b1298080a08612ef8bb
Inefficient algorithm /data-structure and their implementation,,,Inefficient data-structure library,,,Inefficient library API call,,,,,,,Use of fast data strcture container,,,https://github.com/precice/precice/commit/d08d467776f5242a6ec5d59cbdb697a3b1351f4f
Inefficient algorithm /data-structure and their implementation,,,Inefficient data-structure library,,,Inefficient library API call,,,,,,Replace slow STL API with faster operator [] for vector insert operation,Use of fast data strcture container,,,https://github.com/CGAL/cgal/commit/e9cc8bcd5e71ca0b9b7b5888b7d400f9e24417d4
Inefficient algorithm /data-structure and their implementation,,,Inefficient data-structure library,,,Inefficient library API call,,,,,,Replaced forward_list with std::vector,Use of fast data strcture container,,OS specific,https://github.com/TileDB-Inc/TileDB/commit/d51b082681569c75b2ccc2d3d2aea69548536f6c
Inefficient algorithm /data-structure and their implementation,,,Inefficient data-structure library,,,Inefficient library API call,,,,,,Efficient API usage for data structure access,Use of fast data strcture container,,,https://github.com/gromacs/gromacs/commit/9acdb3a9cd519c446343a239ffef934e6e45c7ee
Inefficient algorithm /data-structure and their implementation,,,Inefficient data-structure library,,,Inefficient library API call,,,Inefficient due to reference counting overhead,,,Used data structure with no reference counting technique,Use of fast data strcture container,,,https://github.com/CGAL/cgal/commit/8855eb54c305ffeaec32cb6bc49bfb0a2e465cc2
Inefficient algorithm /data-structure and their implementation,,,Usage of improper data type,3,,Slowdown due to wrong data type,3,,,,,Changed data type to avoid overflow of computation,Use of data types that reduces computation and memory overhead,,,https://github.com/xianyi/OpenBLAS/commit/0caf1434c928d39373499ffc02abe645945485d8
Inefficient algorithm /data-structure and their implementation,,,Usage of improper data type,,,Slowdown due to wrong data type,,,CUDA kernel performance degradation due to data type,,,Replaced long long to int in cuda kernel,Use of data types that reduces computation and memory overhead,,GPU kernel,https://github.com/arrayfire/arrayfire/commit/6b19b7a45826673cb2474db266d2d024d56abdc1
Inefficient algorithm /data-structure and their implementation,,,Usage of improper data type,,,Slowdown due to wrong data type,,,,,,,Use of data types that reduces computation and memory overhead,,,https://github.com/openmm/openmm/commit/5b017677e1add9ac33b318c73fad21c04ff93287
Inefficient memory management,13,"6,99%",memory leak,5,,,,,,,,,,Avoid memory leak by memory management,,https://github.com/arrayfire/arrayfire/commit/44845c014140dcf195262db9c6474eb592436411
Inefficient memory management,,,memory leak,,,,,,,,,,Avoid memory leak by memory management,,,https://github.com/arrayfire/arrayfire/commit/51be7e2e5e639d9099dfc22c2703fb557e407f15
Inefficient memory management,,,memory leak,,,,,,,,,,Avoid memory leak by memory management,,,https://github.com/arrayfire/arrayfire/commit/498598d05c6d434c8f785ff1d1a3227369149f31
Inefficient memory management,,,memory leak,,,,,,,,,,Avoid memory leak by memory management,,,https://github.com/arrayfire/arrayfire/commit/d3bb2023bae565d8f76fa21a515c755f020c559b
Inefficient memory management,,,memory leak,,,,,,,,,,Avoid memory leak by memory management,,,https://github.com/arrayfire/arrayfire/commit/2e438e66f4e2922ed64089711fdab0594ee3a530
Inefficient memory management,4,,repreated memory allocation,,,,,,,,,Allocate large memory,Pre-allocation,,,https://github.com/hypre-space/hypre/commit/7074cb440016f011a86fdf6b329d2b7ceb75a2ee
Inefficient memory management,,,repreated memory allocation,,,,,,,,,,Pre-allocation,,,https://github.com/xianyi/OpenBLAS/commit/d744c9590ae18706b40e151a9adf2070639909fb
Inefficient memory management,,,repreated memory allocation,,,,,,,,,,Pre-allocation,,,https://github.com/lattice/quda/commit/e3f4a9bbf1f0a38ceb6984d2eba3ef0dde5e3e10
Inefficient memory management,,,repreated memory allocation,,,,,,,,,,Pre-allocation,,,https://github.com/llnl/elemental/commit/0e4e381bfacdbe41a74f03ecf9bd743e7c6de4a9
Inefficient memory management,,,Redundant memory allocation,,,,,,,,,Use std::make_shared instead of new.,Use efficient API,,,https://github.com/precice/precice/commit/042f4ed1ca72beda24baf79e54ab834057c364d4
Inefficient memory management,1,,Slower memory allocation library call,1,,,,,,,,Replaced with faster memory allocation library,Use efficient API,,,https://github.com/CGAL/cgal/commit/2e98995b29e8c010ad94831394f093b506b4cb69
Inefficient memory management,1,,Insufficient memory,1,,Inefficiency while computing large multiplication due to lower memory size,,,,,,Memory increase to handle large matrix,Increase memory size for efficiency,,,https://github.com/GlobalArrays/ga/commit/6b869d9ece536a375b5a79267bf3ca397de1b75d
Inefficient memory management,1,,unnecessary data copy,1,,,,,,,,,Reference rather than copy,,,https://github.com/mlpack/mlpack/commit/fe1b6b96fdfa12709df03b730614a00ea97a3747
I/O inefficiency,2,,sequential I/O operation,1,,,,,,,,,parallelize I/O operation,pthread-based paralleism,,https://github.com/TileDB-Inc/TileDB/commit/ac2474656d31588d52ecec16a0c06bf77ef3e11e
I/O inefficiency,1,,over parallelization,,,,,,,,,reduce the parallel I/O operation if performed on single file,reduce parallelization,,,https://github.com/GlobalArrays/ga/commit/4903a90ba750a2119d82b3e435c2e259fab097b9
Unintentional Programming logic error,3,,boundary condition check,2,,,,,,,,,,fix programming error,,https://github.com/xianyi/OpenBLAS/commit/274d6e015b56a9f0ccad928232ed3bd88a063754
Unintentional Programming logic error,,,boundary condition check,,,,,,,,removed mis-branching overhead,,fix programming error,,,https://github.com/libMesh/libmesh/commit/35e671c64a75b420d6534e2bdf6d34656418171b
Unintentional Programming logic error,,,boundary condition check,,,,,,,,,,fix programming error,,,https://github.com/mlpack/mlpack/commit/205b052082e1928447f9daa652d780b1aaeca0d7
Inefficiency due to new compiler version,1,,boundary condition check,,,,,,,,,,,Reduce parallelization,,https://github.com/lattice/quda/commit/2ae74fd9959ebcaebb961af1717ac22093f05161
Inefficiency due to new compiler version,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
